% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.8088551680e+00, 1.3746595494e-02, -6.5144527030e-04
-2.8085050240e+00, 1.4634777806e-02, -1.2187880800e-03
-2.8081548800e+00, 1.4791039853e-02, -2.2629533338e-03
-2.8078047360e+00, 1.2667550252e-02, -2.7678471366e-03
-2.8074545920e+00, 1.2704662488e-02, -1.9175584244e-03
-2.8071044480e+00, 1.3221164361e-02, -1.7803268712e-03
-2.8067543040e+00, 1.3187679637e-02, -2.5969076298e-03
-2.8064041600e+00, 1.3738224312e-02, -3.5494363605e-03
-2.8060540160e+00, 1.2825486535e-02, -2.2928663523e-03
-2.8057038720e+00, 1.3325246046e-02, -2.1891195214e-03
-2.8053537280e+00, 1.3407562660e-02, -1.5421388807e-03
-2.8050035840e+00, 1.4409593035e-02, -1.7602360379e-03
-2.8046534400e+00, 1.4631150295e-02, -2.5191114586e-03
-2.8043032960e+00, 1.4215660673e-02, -3.6465420549e-03
-2.8039531520e+00, 1.4410430153e-02, -4.0326767097e-03
-2.8036030080e+00, 1.4863590089e-02, -3.3405475019e-03
-2.8032528640e+00, 1.4415731901e-02, -2.4862964308e-03
-2.8029027200e+00, 1.5113051285e-02, -2.7966998056e-03
-2.8025525760e+00, 1.4626406625e-02, -3.3308369325e-03
-2.8022024320e+00, 1.5328469679e-02, -3.6805290479e-03
-2.8018522880e+00, 1.5032129868e-02, -3.8476178117e-03
-2.8015021440e+00, 1.4873635507e-02, -3.8867949367e-03
-2.8011520000e+00, 1.4689748562e-02, -3.2043762983e-03
-2.8008018560e+00, 1.4203103902e-02, -3.0592200276e-03
-2.8004517120e+00, 1.4139482926e-02, -3.6582617077e-03
-2.8001015680e+00, 1.4154830091e-02, -2.5956798567e-03
-2.7997514240e+00, 1.4717931538e-02, -2.0817451789e-03
-2.7994012800e+00, 1.5212389301e-02, -2.3587196393e-03
-2.7990511360e+00, 1.5135932514e-02, -2.1895659843e-03
-2.7987009920e+00, 1.4537672106e-02, -2.0008795748e-03
-2.7983508480e+00, 1.4626406625e-02, -6.2638753653e-04
-2.7980007040e+00, 1.5216016813e-02, -7.3002275172e-04
-2.7976505600e+00, 1.4339833193e-02, -2.0258256928e-03
-2.7973004160e+00, 1.3990196863e-02, -1.8326188457e-03
-2.7969502720e+00, 1.4827035932e-02, -2.4934398383e-03
-2.7966001280e+00, 1.4638963397e-02, -1.8316143041e-03
-2.7962499840e+00, 1.4723791365e-02, -2.2091545468e-03
-2.7958998400e+00, 1.5022921569e-02, -2.0972597668e-03
-2.7955496960e+00, 1.5926730087e-02, -1.7773690541e-03
-2.7951995520e+00, 1.5473012072e-02, -2.7524441644e-03
-2.7948494080e+00, 1.5414413804e-02, -1.9768821905e-03
-2.7944992640e+00, 1.5341584529e-02, -2.7263260811e-03
-2.7941491200e+00, 1.5639040497e-02, -3.8082174552e-03
-2.7937989760e+00, 1.5325679285e-02, -3.7985626937e-03
-2.7934488320e+00, 1.4133902138e-02, -2.2562563894e-03
-2.7930986880e+00, 1.4148133146e-02, -1.9402164197e-03
-2.7927485440e+00, 1.4281513965e-02, -2.3468325629e-03
-2.7923984000e+00, 1.3895881556e-02, -2.8668502986e-03
-2.7920482560e+00, 1.3210002786e-02, -2.4638058591e-03
-2.7916981120e+00, 1.4881169569e-02, -2.8929683819e-03
-2.7913479680e+00, 1.5679780245e-02, -3.4473637657e-03
-2.7909978240e+00, 1.5712148812e-02, -2.1431338362e-03
-2.7906476800e+00, 1.5651876308e-02, -1.1445636125e-03
-2.7902975360e+00, 1.4880332451e-02, -9.2428994832e-04
-2.7899473920e+00, 1.4419917492e-02, -3.9835657838e-04
-2.7895972480e+00, 1.4718768657e-02, -2.3519110791e-03
-2.7892471040e+00, 1.5310890198e-02, -2.7531696667e-03
-2.7888969600e+00, 1.4421033649e-02, -2.3188170120e-03
-2.7885468160e+00, 1.5112493207e-02, -1.7110134963e-03
-2.7881966720e+00, 1.4215381634e-02, -2.7527232038e-03
-2.7878465280e+00, 1.4685004893e-02, -3.1005178516e-03
-2.7874963840e+00, 1.3782870612e-02, -2.6686765511e-03
-2.7871462400e+00, 1.3598146549e-02, -2.3138501115e-03
-2.7867960960e+00, 1.4258632736e-02, -2.0147757345e-03
-2.7864459520e+00, 1.5025711963e-02, -4.6002427509e-04
-2.7860958080e+00, 1.4590410547e-02, -5.7593722175e-04
-2.7857456640e+00, 1.4429962909e-02, -1.5639039501e-03
-2.7853955200e+00, 1.4618872562e-02, -1.5317586168e-03
-2.7850453760e+00, 1.4466238027e-02, -2.1633362853e-03
-2.7846952320e+00, 1.3378542565e-02, -2.1545744496e-03
-2.7843450880e+00, 1.2590256347e-02, -3.7938190247e-04
-2.7839949440e+00, 1.4175199965e-02, -6.4787356660e-04
-2.7836448000e+00, 1.3834213856e-02, -2.4535372110e-03
-2.7832946560e+00, 1.3785102927e-02, -2.4898681345e-03
-2.7829445120e+00, 1.3674603336e-02, -3.3685072449e-03
-2.7825943680e+00, 1.4069165005e-02, -2.9159612245e-03
-2.7822442240e+00, 1.4264492563e-02, -2.5868622132e-03
-2.7818940800e+00, 1.4221520500e-02, -2.3793127434e-03
-2.7815439360e+00, 1.4782668672e-02, -1.4193615660e-03
-2.7811937920e+00, 1.4206173335e-02, -2.5352957410e-03
-2.7808436480e+00, 1.3294272676e-02, -1.8568952693e-03
-2.7804935040e+00, 1.3922948375e-02, -1.6822166352e-03
-2.7801433600e+00, 1.2749587827e-02, 2.7485376135e-04
-2.7797932160e+00, 1.2656667717e-02, -3.3228005992e-04
-2.7794430720e+00, 1.2883805763e-02, -1.5855015959e-04
-2.7790929280e+00, 1.3351196707e-02, -3.3808407843e-04
-2.7787427840e+00, 1.3338081857e-02, -1.4167385961e-03
-2.7783926400e+00, 1.3907601210e-02, -3.6096530526e-04
-2.7780424960e+00, 1.4113532264e-02, -6.6790859205e-04
-2.7776923520e+00, 1.4128042312e-02, -1.6043088482e-03
-2.7773422080e+00, 1.4039307792e-02, -2.6754293034e-03
-2.7769920640e+00, 1.2671177764e-02, -2.6880418821e-03
