pix,Val
796,21.103
797,22.5
798,23.449
799,24.115
800,26
801,26.769
802,27.936
803,28.769
804,29.141
805,29.551
806,30.128
807,30.526
808,30.526
809,30.833
810,31.026
811,30.59
812,30.038
813,30.141
814,30.859
815,31.615
816,33.154
817,32.628
818,31.923
819,30.872
820,29.5
821,28.09
822,27.077
823,26.397
824,26.282
825,26.333
826,26.654
827,26.09
828,24.846
829,23.244
830,22.09
831,21.679
832,21.308
833,20.833
834,20.179
835,18.962
836,18.038
837,16.846
838,16.179
839,15.487
840,13.231
841,12.551
842,11.859
843,10.833
844,9.949
845,9.154
846,8.731
847,8.282
848,6.885
849,6.872
850,6.846
851,6.885
852,6.962
853,6.962
854,7.026
855,7.077
856,7.282
857,7.346
858,7.436
859,7.385
860,7.474
861,7.526
862,7.667
863,7.615
864,8.359
865,8.385
866,8.833
867,9.154
868,10.013
869,10.346
870,10.885
871,11.231
872,12.513
873,12.936
874,14.013
875,14.846
876,15.487
877,16.308
878,17.064
879,17.154
880,16.91
881,16.705
882,17.128
883,17.141
884,17.59
885,17.654
886,18.013
887,18
888,18.526
889,18.41
890,18.192
891,17.962
892,17.833
893,17.603
894,17.564
895,17.372
896,17.487
897,17.154
898,16.821
899,16.282
900,15.923
901,15.256
902,14.923
903,14.577
904,13.256
905,12.808
906,12.167
907,11.321
908,10.744
909,10.128
910,9.692
911,9.474
912,7.974
913,7.718
914,7.154
915,6.564
916,5.705
917,4.897
918,4.41
919,3.936
920,2.295
921,2.051
922,1.936
923,1.885
924,1.859
925,1.885
926,1.897
927,1.885
928,1.846
929,1.795
930,1.795
931,1.795
932,1.846
933,1.846
934,1.923
935,1.923
936,2.667
937,2.692
938,2.91
939,2.987
940,3.244
941,3.359
942,3.487
943,3.462
944,4.269
945,4.449
946,4.679
947,4.897
948,5.167
949,5.474
950,5.654
951,5.897
952,7.269
953,7.308
954,7.551
955,7.641
956,7.897
957,7.987
958,8.038
959,8.077
960,8.436
961,8.397
962,8.474
963,8.397
964,8.474
965,8.397
966,8.474
967,8.397
968,8.526
969,8.41
970,8.449
971,8.295
972,8.269
973,8.115
974,8.154
975,7.974
976,7.821
977,7.551
978,7.564
979,7.282
980,7.167
981,6.833
982,6.718
983,6.462
984,5.308
985,5.064
986,4.846
987,4.59
988,4.244
989,4.038
990,3.795
991,3.654
992,3.026
993,2.885
994,2.744
995,2.59
996,2.372
997,2.256
998,2.103
999,2.038
1000,1.949
1001,1.949
1002,1.949
1003,1.949
1004,1.872
1005,1.846
1006,1.872
1007,1.846
1008,1.872
1009,1.846
1010,1.872
1011,1.846
1012,1.872
1013,1.846
1014,1.872
1015,1.846
1016,2.487
1017,2.462
1018,2.487
1019,2.462
1020,2.487
1021,2.462
1022,2.487
1023,2.564
1024,3.667
1025,3.692
1026,3.756
1027,3.756
1028,3.782
1029,3.756
1030,3.782
1031,3.756
1032,4.897
1033,4.615
1034,4.667
1035,4.346
1036,4.436
1037,4.744
1038,4.756
1039,5.013
1040,4.615
1041,4.231
1042,4.256
1043,3.923
1044,3.949
1045,4.231
1046,4.256
1047,4.538
1048,3.551
1049,3.526
1050,3.551
1051,3.526
1052,3.551
1053,3.526
1054,3.551
1055,3.462
1056,3.295
1057,3.205
1058,3.256
1059,3.205
1060,3.205
1061,3.179
1062,3.077
1063,3.077
1064,2.744
1065,2.744
1066,2.692
1067,2.692
1068,2.641
1069,2.641
1070,2.641
1071,2.615
1072,1.846
1073,1.846
1074,1.846
1075,1.846
1076,1.846
1077,1.846
1078,1.846
1079,1.846
1080,1.846
1081,1.846
1082,1.846
1083,1.846
1084,1.846
1085,1.846
1086,1.846
1087,1.846
1088,1.846
1089,1.846
1090,1.846
1091,1.846
1092,1.846
1093,1.846
1094,1.846
1095,1.846
1096,2
1097,2
1098,2
1099,2
1100,2
1101,2
1102,2
1103,2
1104,2.256
1105,2.256
1106,2.256
1107,2.256
1108,2.256
1109,2.256
1110,2.256
1111,2.256
1112,2.372
1113,2.372
1114,2.372
1115,2.372
1116,2.372
1117,2.372
1118,2.372
1119,2.372
1120,1.872
1121,1.846
1122,1.872
1123,1.846
1124,1.872
1125,1.846
1126,1.872
1127,1.846
1128,2
1129,1.974
1130,2
1131,1.974
1132,2
1133,1.974
1134,2
1135,1.897
1136,1.231
1137,1.231
1138,1.231
1139,1.231
1140,1.231
1141,1.231
1142,1.231
1143,1.231
1144,1.231
1145,1.231
1146,1.231
1147,1.231
1148,1.231
1149,1.231
1150,1.231
1151,1.231
1152,1.231
1153,1.231
1154,1.231
1155,1.231
1156,1.231
1157,1.231
1158,1.231
1159,1.231
1160,1.231
1161,1.231
1162,1.231
1163,1.231
1164,1.231
1165,1.231
1166,1.231
1167,1.231
1168,1.231
1169,1.231
1170,1.231
1171,1.231
1172,1.231
1173,1.231
1174,1.231
1175,1.231
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
