% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 6.600 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 1.200 000 000 kHz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 10:00:44 -0400
% Time (s), Channel A (V)
-4.2883520000e-03, 3.9081584662e-02
-4.2878080000e-03, 4.1524183704e-02
-4.2872640000e-03, 4.1524183704e-02
-4.2867200000e-03, 4.1524183704e-02
-4.2861760000e-03, 3.9081584662e-02
-4.2856320000e-03, 4.1524183704e-02
-4.2850880000e-03, 4.1524183704e-02
-4.2845440000e-03, 4.1524183704e-02
-4.2840000000e-03, 4.1524183704e-02
-4.2834560000e-03, 4.1524183704e-02
-4.2829120000e-03, 4.1524183704e-02
-4.2823680000e-03, 3.9081584662e-02
-4.2818240000e-03, 4.1524183704e-02
-4.2812800000e-03, 4.1524183704e-02
-4.2807360000e-03, 4.1524183704e-02
-4.2801920000e-03, 4.1524183704e-02
-4.2796480000e-03, 4.1524183704e-02
-4.2791040000e-03, 4.1524183704e-02
-4.2785600000e-03, 4.1524183704e-02
-4.2780160000e-03, 4.1524183704e-02
-4.2774720000e-03, 3.9081584662e-02
-4.2769280000e-03, 4.1524183704e-02
-4.2763840000e-03, 3.9081584662e-02
-4.2758400000e-03, 4.1524183704e-02
-4.2752960000e-03, 3.9081584662e-02
-4.2747520000e-03, 4.1524183704e-02
-4.2742080000e-03, 4.1524183704e-02
-4.2736640000e-03, 4.1524183704e-02
-4.2731200000e-03, 4.1524183704e-02
-4.2725760000e-03, 3.9081584662e-02
-4.2720320000e-03, 3.9081584662e-02
-4.2714880000e-03, 4.1524183704e-02
-4.2709440000e-03, 3.9081584662e-02
-4.2704000000e-03, 4.1524183704e-02
-4.2698560000e-03, 4.1524183704e-02
-4.2693120000e-03, 3.6638985621e-02
-4.2687680000e-03, 3.9081584662e-02
-4.2682240000e-03, 4.1524183704e-02
-4.2676800000e-03, 4.1524183704e-02
-4.2671360000e-03, 4.1524183704e-02
-4.2665920000e-03, 4.1524183704e-02
-4.2660480000e-03, 3.9081584662e-02
-4.2655040000e-03, 4.1524183704e-02
-4.2649600000e-03, 4.1524183704e-02
-4.2644160000e-03, 4.1524183704e-02
-4.2638720000e-03, 3.9081584662e-02
-4.2633280000e-03, 3.9081584662e-02
-4.2627840000e-03, 3.9081584662e-02
-4.2622400000e-03, 4.1524183704e-02
-4.2616960000e-03, 4.1524183704e-02
-4.2611520000e-03, 3.9081584662e-02
-4.2606080000e-03, 3.9081584662e-02
-4.2600640000e-03, 4.1524183704e-02
-4.2595200000e-03, 3.9081584662e-02
-4.2589760000e-03, 3.9081584662e-02
-4.2584320000e-03, 3.9081584662e-02
-4.2578880000e-03, 3.9081584662e-02
-4.2573440000e-03, 3.9081584662e-02
-4.2568000000e-03, 4.1524183704e-02
-4.2562560000e-03, 4.1524183704e-02
-4.2557120000e-03, 3.9081584662e-02
-4.2551680000e-03, 4.1524183704e-02
-4.2546240000e-03, 3.9081584662e-02
-4.2540800000e-03, 4.1524183704e-02
-4.2535360000e-03, 4.1524183704e-02
-4.2529920000e-03, 4.1524183704e-02
-4.2524480000e-03, 3.9081584662e-02
-4.2519040000e-03, 4.1524183704e-02
-4.2513600000e-03, 3.9081584662e-02
-4.2508160000e-03, 3.9081584662e-02
-4.2502720000e-03, 4.1524183704e-02
-4.2497280000e-03, 3.9081584662e-02
-4.2491840000e-03, 4.1524183704e-02
-4.2486400000e-03, 3.9081584662e-02
-4.2480960000e-03, 3.9081584662e-02
-4.2475520000e-03, 3.9081584662e-02
-4.2470080000e-03, 3.9081584662e-02
-4.2464640000e-03, 3.9081584662e-02
-4.2459200000e-03, 3.9081584662e-02
-4.2453760000e-03, 3.9081584662e-02
-4.2448320000e-03, 4.1524183704e-02
-4.2442880000e-03, 3.9081584662e-02
-4.2437440000e-03, 4.1524183704e-02
-4.2432000000e-03, 3.9081584662e-02
-4.2426560000e-03, 3.9081584662e-02
-4.2421120000e-03, 4.1524183704e-02
-4.2415680000e-03, 3.9081584662e-02
-4.2410240000e-03, 4.1524183704e-02
-4.2404800000e-03, 3.9081584662e-02
-4.2399360000e-03, 3.9081584662e-02
-4.2393920000e-03, 4.1524183704e-02
-4.2388480000e-03, 3.9081584662e-02
-4.2383040000e-03, 3.9081584662e-02
-4.2377600000e-03, 4.1524183704e-02
-4.2372160000e-03, 3.9081584662e-02
-4.2366720000e-03, 4.1524183704e-02
-4.2361280000e-03, 4.1524183704e-02
-4.2355840000e-03, 3.9081584662e-02
-4.2350400000e-03, 3.9081584662e-02
-4.2344960000e-03, 3.9081584662e-02
-4.2339520000e-03, 4.1524183704e-02
-4.2334080000e-03, 3.9081584662e-02
-4.2328640000e-03, 3.9081584662e-02
-4.2323200000e-03, 3.9081584662e-02
-4.2317760000e-03, 4.1524183704e-02
-4.2312320000e-03, 3.9081584662e-02
-4.2306880000e-03, 4.1524183704e-02
-4.2301440000e-03, 3.9081584662e-02
-4.2296000000e-03, 4.1524183704e-02
-4.2290560000e-03, 3.9081584662e-02
-4.2285120000e-03, 4.1524183704e-02
-4.2279680000e-03, 4.1524183704e-02
-4.2274240000e-03, 3.9081584662e-02
-4.2268800000e-03, 3.9081584662e-02
-4.2263360000e-03, 3.6638985621e-02
-4.2257920000e-03, 3.9081584662e-02
-4.2252480000e-03, 3.9081584662e-02
-4.2247040000e-03, 4.1524183704e-02
-4.2241600000e-03, 4.1524183704e-02
-4.2236160000e-03, 4.1524183704e-02
-4.2230720000e-03, 3.9081584662e-02
-4.2225280000e-03, 3.9081584662e-02
-4.2219840000e-03, 4.1524183704e-02
-4.2214400000e-03, 3.9081584662e-02
-4.2208960000e-03, 4.1524183704e-02
-4.2203520000e-03, 3.9081584662e-02
-4.2198080000e-03, 4.1524183704e-02
-4.2192640000e-03, 3.9081584662e-02
-4.2187200000e-03, 3.9081584662e-02
-4.2181760000e-03, 3.9081584662e-02
-4.2176320000e-03, 3.9081584662e-02
-4.2170880000e-03, 3.9081584662e-02
-4.2165440000e-03, 3.9081584662e-02
-4.2160000000e-03, 4.1524183704e-02
-4.2154560000e-03, 3.9081584662e-02
-4.2149120000e-03, 4.1524183704e-02
-4.2143680000e-03, 4.1524183704e-02
-4.2138240000e-03, 4.1524183704e-02
-4.2132800000e-03, 4.1524183704e-02
-4.2127360000e-03, 4.1524183704e-02
-4.2121920000e-03, 3.9081584662e-02
-4.2116480000e-03, 3.9081584662e-02
-4.2111040000e-03, 4.1524183704e-02
-4.2105600000e-03, 4.1524183704e-02
-4.2100160000e-03, 4.1524183704e-02
-4.2094720000e-03, 4.1524183704e-02
-4.2089280000e-03, 3.9081584662e-02
-4.2083840000e-03, 3.9081584662e-02
-4.2078400000e-03, 3.9081584662e-02
-4.2072960000e-03, 3.9081584662e-02
-4.2067520000e-03, 3.9081584662e-02
-4.2062080000e-03, 4.1524183704e-02
-4.2056640000e-03, 3.9081584662e-02
-4.2051200000e-03, 3.6638985621e-02
-4.2045760000e-03, 3.9081584662e-02
-4.2040320000e-03, 3.9081584662e-02
-4.2034880000e-03, 3.9081584662e-02
-4.2029440000e-03, 3.9081584662e-02
-4.2024000000e-03, 3.9081584662e-02
-4.2018560000e-03, 3.9081584662e-02
-4.2013120000e-03, 3.9081584662e-02
-4.2007680000e-03, 3.9081584662e-02
-4.2002240000e-03, 4.1524183704e-02
-4.1996800000e-03, 4.1524183704e-02
-4.1991360000e-03, 4.1524183704e-02
-4.1985920000e-03, 3.9081584662e-02
-4.1980480000e-03, 3.9081584662e-02
-4.1975040000e-03, 3.9081584662e-02
-4.1969600000e-03, 3.9081584662e-02
-4.1964160000e-03, 4.1524183704e-02
-4.1958720000e-03, 3.9081584662e-02
-4.1953280000e-03, 3.9081584662e-02
-4.1947840000e-03, 3.9081584662e-02
-4.1942400000e-03, 4.1524183704e-02
-4.1936960000e-03, 3.9081584662e-02
-4.1931520000e-03, 3.9081584662e-02
-4.1926080000e-03, 4.1524183704e-02
-4.1920640000e-03, 4.1524183704e-02
-4.1915200000e-03, 3.9081584662e-02
-4.1909760000e-03, 3.9081584662e-02
-4.1904320000e-03, 3.9081584662e-02
-4.1898880000e-03, 3.9081584662e-02
-4.1893440000e-03, 3.9081584662e-02
-4.1888000000e-03, 3.9081584662e-02
-4.1882560000e-03, 3.9081584662e-02
-4.1877120000e-03, 4.1524183704e-02
-4.1871680000e-03, 3.6638985621e-02
-4.1866240000e-03, 3.9081584662e-02
-4.1860800000e-03, 3.9081584662e-02
-4.1855360000e-03, 4.1524183704e-02
-4.1849920000e-03, 3.9081584662e-02
-4.1844480000e-03, 4.1524183704e-02
-4.1839040000e-03, 4.1524183704e-02
-4.1833600000e-03, 4.1524183704e-02
-4.1828160000e-03, 4.1524183704e-02
-4.1822720000e-03, 4.1524183704e-02
-4.1817280000e-03, 4.1524183704e-02
-4.1811840000e-03, 4.1524183704e-02
-4.1806400000e-03, 3.9081584662e-02
-4.1800960000e-03, 3.9081584662e-02
-4.1795520000e-03, 3.9081584662e-02
-4.1790080000e-03, 3.9081584662e-02
-4.1784640000e-03, 3.9081584662e-02
-4.1779200000e-03, 3.9081584662e-02
-4.1773760000e-03, 4.1524183704e-02
-4.1768320000e-03, 4.1524183704e-02
-4.1762880000e-03, 4.1524183704e-02
-4.1757440000e-03, 4.1524183704e-02
-4.1752000000e-03, 4.1524183704e-02
-4.1746560000e-03, 4.1524183704e-02
-4.1741120000e-03, 3.9081584662e-02
-4.1735680000e-03, 4.1524183704e-02
-4.1730240000e-03, 4.1524183704e-02
-4.1724800000e-03, 4.1524183704e-02
-4.1719360000e-03, 3.9081584662e-02
-4.1713920000e-03, 4.1524183704e-02
-4.1708480000e-03, 4.1524183704e-02
-4.1703040000e-03, 4.1524183704e-02
-4.1697600000e-03, 3.9081584662e-02
-4.1692160000e-03, 3.9081584662e-02
-4.1686720000e-03, 4.1524183704e-02
-4.1681280000e-03, 4.1524183704e-02
-4.1675840000e-03, 3.9081584662e-02
-4.1670400000e-03, 4.1524183704e-02
-4.1664960000e-03, 4.1524183704e-02
-4.1659520000e-03, 4.1524183704e-02
-4.1654080000e-03, 3.9081584662e-02
-4.1648640000e-03, 4.1524183704e-02
-4.1643200000e-03, 4.1524183704e-02
-4.1637760000e-03, 4.1524183704e-02
-4.1632320000e-03, 4.1524183704e-02
-4.1626880000e-03, 3.9081584662e-02
-4.1621440000e-03, 4.1524183704e-02
-4.1616000000e-03, 3.9081584662e-02
-4.1610560000e-03, 4.1524183704e-02
-4.1605120000e-03, 4.1524183704e-02
-4.1599680000e-03, 4.1524183704e-02
-4.1594240000e-03, 3.9081584662e-02
-4.1588800000e-03, 3.9081584662e-02
-4.1583360000e-03, 4.1524183704e-02
-4.1577920000e-03, 4.1524183704e-02
-4.1572480000e-03, 3.9081584662e-02
-4.1567040000e-03, 4.1524183704e-02
-4.1561600000e-03, 3.9081584662e-02
-4.1556160000e-03, 3.9081584662e-02
-4.1550720000e-03, 4.1524183704e-02
-4.1545280000e-03, 4.1524183704e-02
-4.1539840000e-03, 4.1524183704e-02
-4.1534400000e-03, 4.1524183704e-02
-4.1528960000e-03, 4.1524183704e-02
-4.1523520000e-03, 4.1524183704e-02
-4.1518080000e-03, 3.9081584662e-02
-4.1512640000e-03, 4.1524183704e-02
-4.1507200000e-03, 3.9081584662e-02
-4.1501760000e-03, 4.1524183704e-02
-4.1496320000e-03, 4.1524183704e-02
-4.1490880000e-03, 4.1524183704e-02
-4.1485440000e-03, 3.9081584662e-02
-4.1480000000e-03, 4.1524183704e-02
-4.1474560000e-03, 4.1524183704e-02
-4.1469120000e-03, 3.9081584662e-02
-4.1463680000e-03, 4.1524183704e-02
-4.1458240000e-03, 4.1524183704e-02
-4.1452800000e-03, 4.1524183704e-02
-4.1447360000e-03, 3.9081584662e-02
-4.1441920000e-03, 4.1524183704e-02
-4.1436480000e-03, 4.1524183704e-02
-4.1431040000e-03, 4.1524183704e-02
-4.1425600000e-03, 3.9081584662e-02
-4.1420160000e-03, 3.9081584662e-02
-4.1414720000e-03, 4.1524183704e-02
-4.1409280000e-03, 3.9081584662e-02
-4.1403840000e-03, 4.1524183704e-02
-4.1398400000e-03, 4.1524183704e-02
-4.1392960000e-03, 3.9081584662e-02
-4.1387520000e-03, 3.9081584662e-02
-4.1382080000e-03, 4.1524183704e-02
-4.1376640000e-03, 3.9081584662e-02
-4.1371200000e-03, 3.9081584662e-02
-4.1365760000e-03, 3.9081584662e-02
-4.1360320000e-03, 3.9081584662e-02
-4.1354880000e-03, 3.9081584662e-02
-4.1349440000e-03, 4.1524183704e-02
-4.1344000000e-03, 4.1524183704e-02
-4.1338560000e-03, 4.1524183704e-02
-4.1333120000e-03, 3.9081584662e-02
-4.1327680000e-03, 3.9081584662e-02
-4.1322240000e-03, 3.9081584662e-02
-4.1316800000e-03, 4.1524183704e-02
-4.1311360000e-03, 4.1524183704e-02
-4.1305920000e-03, 3.9081584662e-02
-4.1300480000e-03, 3.9081584662e-02
-4.1295040000e-03, 4.1524183704e-02
-4.1289600000e-03, 4.1524183704e-02
-4.1284160000e-03, 4.1524183704e-02
-4.1278720000e-03, 4.1524183704e-02
-4.1273280000e-03, 4.1524183704e-02
-4.1267840000e-03, 3.9081584662e-02
