% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 33.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 300.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:53:26 -0400
% Time (s), Channel A (V)
-2.1426496000e-02, 4.9340500636e-01
-2.1423792000e-02, 4.8851980828e-01
-2.1421088000e-02, 4.8607720924e-01
-2.1418384000e-02, 4.8363461019e-01
-2.1415680000e-02, 4.7874941211e-01
-2.1412976000e-02, 4.7386421403e-01
-2.1410272000e-02, 4.6897901595e-01
-2.1407568000e-02, 4.6897901595e-01
-2.1404864000e-02, 4.6653641691e-01
-2.1402160000e-02, 4.6409381786e-01
-2.1399456000e-02, 4.6409381786e-01
-2.1396752000e-02, 4.5920861978e-01
-2.1394048000e-02, 4.5676602074e-01
-2.1391344000e-02, 4.5920861978e-01
-2.1388640000e-02, 4.5676602074e-01
-2.1385936000e-02, 4.5188082266e-01
-2.1383232000e-02, 4.5432342170e-01
-2.1380528000e-02, 4.5432342170e-01
-2.1377824000e-02, 4.5676602074e-01
-2.1375120000e-02, 4.5432342170e-01
-2.1372416000e-02, 4.5676602074e-01
-2.1369712000e-02, 4.5676602074e-01
-2.1367008000e-02, 4.5432342170e-01
-2.1364304000e-02, 4.5676602074e-01
-2.1361600000e-02, 4.5920861978e-01
-2.1358896000e-02, 4.6165121882e-01
-2.1356192000e-02, 4.6409381786e-01
-2.1353488000e-02, 4.6409381786e-01
-2.1350784000e-02, 4.6653641691e-01
-2.1348080000e-02, 4.7142161499e-01
-2.1345376000e-02, 4.6897901595e-01
-2.1342672000e-02, 4.7630681307e-01
-2.1339968000e-02, 4.7630681307e-01
-2.1337264000e-02, 4.7874941211e-01
-2.1334560000e-02, 4.8363461019e-01
-2.1331856000e-02, 4.8607720924e-01
-2.1329152000e-02, 4.9096240732e-01
-2.1326448000e-02, 4.9340500636e-01
-2.1323744000e-02, 4.9829020444e-01
-2.1321040000e-02, 5.0073280348e-01
-2.1318336000e-02, 5.0806060061e-01
-2.1315632000e-02, 5.1050319965e-01
-2.1312928000e-02, 5.1783099677e-01
-2.1310224000e-02, 5.2027359582e-01
-2.1307520000e-02, 5.2271619486e-01
-2.1304816000e-02, 5.3248659102e-01
-2.1302112000e-02, 5.3492919006e-01
-2.1299408000e-02, 5.4225698719e-01
-2.1296704000e-02, 5.4958478431e-01
-2.1294000000e-02, 5.5446998239e-01
-2.1291296000e-02, 5.5691258144e-01
-2.1288592000e-02, 5.6424037856e-01
-2.1285888000e-02, 5.7156817568e-01
-2.1283184000e-02, 5.7401077473e-01
-2.1280480000e-02, 5.7645337377e-01
-2.1277776000e-02, 5.8866636897e-01
-2.1275072000e-02, 5.9599416610e-01
-2.1272368000e-02, 6.0332196322e-01
-2.1269664000e-02, 6.1064976035e-01
-2.1266960000e-02, 6.1553495843e-01
-2.1264256000e-02, 6.2286275555e-01
-2.1261552000e-02, 6.2774795364e-01
-2.1258848000e-02, 6.3751834980e-01
-2.1256144000e-02, 6.3996094884e-01
-2.1253440000e-02, 6.4973134501e-01
-2.1250736000e-02, 6.5705914213e-01
-2.1248032000e-02, 6.6682953830e-01
-2.1245328000e-02, 6.7171473638e-01
-2.1242624000e-02, 6.7904253351e-01
-2.1239920000e-02, 6.8637033063e-01
-2.1237216000e-02, 6.9125552871e-01
-2.1234512000e-02, 7.0102592488e-01
-2.1231808000e-02, 7.0591112296e-01
-2.1229104000e-02, 7.1568151913e-01
-2.1226400000e-02, 7.2545191529e-01
-2.1223696000e-02, 7.3277971242e-01
-2.1220992000e-02, 7.3766491050e-01
-2.1218288000e-02, 7.4743530666e-01
-2.1215584000e-02, 7.5232050475e-01
-2.1212880000e-02, 7.6209090091e-01
-2.1210176000e-02, 7.6941869804e-01
-2.1207472000e-02, 7.7186129708e-01
-2.1204768000e-02, 7.8407429229e-01
-2.1202064000e-02, 7.9140208941e-01
-2.1199360000e-02, 7.9872988653e-01
-2.1196656000e-02, 8.0850028270e-01
-2.1193952000e-02, 8.1582807982e-01
-2.1191248000e-02, 8.2315587695e-01
-2.1188544000e-02, 8.3048367407e-01
-2.1185840000e-02, 8.3781147120e-01
-2.1183136000e-02, 8.4513926832e-01
-2.1180432000e-02, 8.5246706544e-01
-2.1177728000e-02, 8.6223746161e-01
-2.1175024000e-02, 8.7200785778e-01
-2.1172320000e-02, 8.7445045682e-01
-2.1169616000e-02, 8.8422085298e-01
-2.1166912000e-02, 8.9154865011e-01
-2.1164208000e-02, 8.9643384819e-01
-2.1161504000e-02, 9.0864684340e-01
-2.1158800000e-02, 9.1353204148e-01
-2.1156096000e-02, 9.1841723956e-01
-2.1153392000e-02, 9.3063023477e-01
-2.1150688000e-02, 9.3795803189e-01
-2.1147984000e-02, 9.4040063093e-01
-2.1145280000e-02, 9.5017102710e-01
-2.1142576000e-02, 9.5749882422e-01
-2.1139872000e-02, 9.6238402231e-01
-2.1137168000e-02, 9.7215441847e-01
-2.1134464000e-02, 9.7948221560e-01
-2.1131760000e-02, 9.8192481464e-01
-2.1129056000e-02, 9.9169521080e-01
-2.1126352000e-02, 9.9902300793e-01
-2.1123648000e-02, 1.0063508051e+00
-2.1120944000e-02, 1.0087934041e+00
-2.1118240000e-02, 1.0210063993e+00
-2.1115536000e-02, 1.0234489983e+00
-2.1112832000e-02, 1.0332193945e+00
-2.1110128000e-02, 1.0381045926e+00
-2.1107424000e-02, 1.0454323897e+00
-2.1104720000e-02, 1.0527601868e+00
-2.1102016000e-02, 1.0600879840e+00
-2.1099312000e-02, 1.0600879840e+00
-2.1096608000e-02, 1.0698583801e+00
-2.1093904000e-02, 1.0796287763e+00
-2.1091200000e-02, 1.0845139744e+00
-2.1088496000e-02, 1.0893991725e+00
-2.1085792000e-02, 1.0967269696e+00
-2.1083088000e-02, 1.1016121677e+00
-2.1080384000e-02, 1.1040547667e+00
-2.1077680000e-02, 1.1138251629e+00
-2.1074976000e-02, 1.1187103610e+00
-2.1072272000e-02, 1.1235955590e+00
-2.1069568000e-02, 1.1284807571e+00
-2.1066864000e-02, 1.1382511533e+00
-2.1064160000e-02, 1.1431363514e+00
-2.1061456000e-02, 1.1431363514e+00
-2.1058752000e-02, 1.1504641485e+00
-2.1056048000e-02, 1.1577919456e+00
-2.1053344000e-02, 1.1626771437e+00
-2.1050640000e-02, 1.1675623418e+00
-2.1047936000e-02, 1.1748901389e+00
-2.1045232000e-02, 1.1773327379e+00
-2.1042528000e-02, 1.1846605351e+00
-2.1039824000e-02, 1.1895457332e+00
-2.1037120000e-02, 1.1944309312e+00
-2.1034416000e-02, 1.1993161293e+00
-2.1031712000e-02, 1.2042013274e+00
-2.1029008000e-02, 1.2066439264e+00
-2.1026304000e-02, 1.2139717236e+00
-2.1023600000e-02, 1.2188569217e+00
-2.1020896000e-02, 1.2212995207e+00
-2.1018192000e-02, 1.2212995207e+00
-2.1015488000e-02, 1.2286273178e+00
-2.1012784000e-02, 1.2310699169e+00
-2.1010080000e-02, 1.2359551149e+00
-2.1007376000e-02, 1.2408403130e+00
-2.1004672000e-02, 1.2432829121e+00
-2.1001968000e-02, 1.2530533082e+00
-2.0999264000e-02, 1.2554959073e+00
-2.0996560000e-02, 1.2579385063e+00
-2.0993856000e-02, 1.2603811054e+00
-2.0991152000e-02, 1.2701515015e+00
-2.0988448000e-02, 1.2701515015e+00
-2.0985744000e-02, 1.2725941006e+00
-2.0983040000e-02, 1.2774792986e+00
-2.0980336000e-02, 1.2799218977e+00
-2.0977632000e-02, 1.2823644967e+00
-2.0974928000e-02, 1.2896922939e+00
-2.0972224000e-02, 1.2872496948e+00
-2.0969520000e-02, 1.2896922939e+00
-2.0966816000e-02, 1.2994626900e+00
-2.0964112000e-02, 1.2970200910e+00
-2.0961408000e-02, 1.3043478881e+00
-2.0958704000e-02, 1.3067904871e+00
-2.0956000000e-02, 1.3092330862e+00
-2.0953296000e-02, 1.3116756852e+00
-2.0950592000e-02, 1.3165608833e+00
-2.0947888000e-02, 1.3165608833e+00
-2.0945184000e-02, 1.3165608833e+00
-2.0942480000e-02, 1.3214460814e+00
-2.0939776000e-02, 1.3190034823e+00
-2.0937072000e-02, 1.3287738785e+00
-2.0934368000e-02, 1.3287738785e+00
-2.0931664000e-02, 1.3287738785e+00
-2.0928960000e-02, 1.3287738785e+00
-2.0926256000e-02, 1.3336590766e+00
-2.0923552000e-02, 1.3361016756e+00
-2.0920848000e-02, 1.3336590766e+00
-2.0918144000e-02, 1.3385442747e+00
-2.0915440000e-02, 1.3361016756e+00
-2.0912736000e-02, 1.3409868737e+00
-2.0910032000e-02, 1.3458720718e+00
-2.0907328000e-02, 1.3409868737e+00
-2.0904624000e-02, 1.3458720718e+00
-2.0901920000e-02, 1.3434294728e+00
-2.0899216000e-02, 1.3458720718e+00
-2.0896512000e-02, 1.3458720718e+00
-2.0893808000e-02, 1.3458720718e+00
-2.0891104000e-02, 1.3507572699e+00
-2.0888400000e-02, 1.3507572699e+00
-2.0885696000e-02, 1.3483146708e+00
-2.0882992000e-02, 1.3531998689e+00
-2.0880288000e-02, 1.3531998689e+00
-2.0877584000e-02, 1.3531998689e+00
-2.0874880000e-02, 1.3507572699e+00
-2.0872176000e-02, 1.3531998689e+00
-2.0869472000e-02, 1.3507572699e+00
-2.0866768000e-02, 1.3531998689e+00
-2.0864064000e-02, 1.3507572699e+00
-2.0861360000e-02, 1.3483146708e+00
-2.0858656000e-02, 1.3531998689e+00
-2.0855952000e-02, 1.3483146708e+00
-2.0853248000e-02, 1.3483146708e+00
-2.0850544000e-02, 1.3483146708e+00
-2.0847840000e-02, 1.3458720718e+00
-2.0845136000e-02, 1.3483146708e+00
-2.0842432000e-02, 1.3458720718e+00
-2.0839728000e-02, 1.3458720718e+00
-2.0837024000e-02, 1.3409868737e+00
-2.0834320000e-02, 1.3409868737e+00
-2.0831616000e-02, 1.3409868737e+00
-2.0828912000e-02, 1.3385442747e+00
-2.0826208000e-02, 1.3361016756e+00
-2.0823504000e-02, 1.3336590766e+00
